Key,English,French,Russian
takeandreplace,"Rip off ","Changer","Перенести"
musicbox_turnOn,"Turn On","Allumer","Включить"
musicbox_turnOff,"Turn Off","Eteindre","Выключить"
BanditFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Фракция Бандитов"
UndeadFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Фракция Нежити"
DukeRiverFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Фракция Дюк Ривер"
WhiteRiverFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Фракция Уайт Ривер"
ResetFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Сбросить фракцию"
ResetFactionSchematicDesc,"Read this to reset your faction!","le Reseter Le Faction...er...","Прочтите это, чтобы сбросить вашу фракцию!"
BanditFactionSchematicDesc,"Read this to switch over to the bandit faction!","Lisez ceci pour basculer dans la faction des bandits!","Прочтите это, чтобы перейти к фракции бандитов!"
UndeadFactionSchematicDesc,"Read this to switch over to the undead faction!","Lisez ceci pour basculer dans la faction des morts-vivants!","Прочтите это, чтобы перейти к фракции нежити!"
WhiteRiverFactionSchematicDesc,"Read this to switch over to the White River faction!","Lisez ceci pour basculer dans la faction White River!","Прочтите это, чтобы перейти к фракции Уайт Ривер!"
DukeRiverFactionSchematicDesc,"Read this to switch over to the Duke faction!","Lisez ceci pour basculer dans la faction du Duke!","Прочтите это, чтобы перейти к фракции Дюк Ривер!"
UndeadPositiveFactionSchematic,"Peace and Love to the Undead","","Мир и любовь Нежити"
UndeadPositiveFactionSchematicDesc,"Read this to spread the message of the undead! Increase your standings with the undead!","","Прочтите это, чтобы распространить послание Нежити! Повышайте свой рейтинг с Нежитью!"
UndeadNegativeFactionSchematic,"Undead: Unreliable! Untrustworthy!","","Нежить: ненадежно! Ненадежный!"
UndeadNegativeFactionSchematicDesc,"Read this to spread lies and fake news about the undead! Decrease your standings with the undead!","","Прочтите это, чтобы распространять ложь и фальшивые новости о Нежити! Снижайте позиции с Нежитью!"
